coreid,identifier,catalogNumber,accessURI
01b26906-f34f-4454-bcf8-4d40c64ac13a,7c9a55a8-f9ba-47bc-aeaf-3965b43d460c,16295,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000016295.jpg
e8aeafb2-755a-4965-bd09-6c609970bb83,422cfef4-0f51-4e22-a000-9f85e89c0b82,16296,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000016296.jpg
54b2604a-7cb4-4e6c-a654-59d37fa2db87,4ff59dc4-3602-43e6-bad6-051663e35076,16297,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000016297.jpg
216bb013-46bd-4c28-a57a-45c8a9e7ca25,25a1e2a3-e94f-4ecd-8f54-6f917c66169e,16298,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000016298.jpg
368187f6-e625-4638-8cbd-3916346abcca,2e7ab9fa-2d0e-4b94-8b90-0cf4454f0a50,16299,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000016299.jpg
a7bacbc0-c0b4-4724-b289-20e2b4e1fd5a,9acc6d54-5cfa-49c0-ba04-081d455d8cd1,16300,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000016300.jpg
714be93f-e2fb-475a-a167-72e2134310b2,09dd21ed-dfd8-4224-90e8-1dc50b81ebc4,16301,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000016301.jpg
2a2d8f85-9bf2-4188-aaa1-d65c9b8cd93d,4201a93a-ccd8-439a-b2a5-a0714b2c4f44,16302,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000016302.jpg
c221f6cb-0a3c-41fd-bea3-696ac58dcbc5,da50e871-9582-4c7c-a330-85840f530286,16303,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000016303.jpg
a694f70c-9aa5-49d7-8afa-ff88759f8e3c,ea0958ba-c275-4fcb-81a6-97de0b9aa2f4,16304,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000016304.jpg
d921105a-03bf-499b-b8ab-6beb99620fa4,470c6c4a-0ff7-404f-8c6d-a07b1a84a459,16305,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000016305.jpg
700d7115-2d98-42b9-983f-c69ccc8dedd3,244d594e-bfa6-4816-a1d5-1064eebde716,16306,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000016306.jpg
870f93a8-ca7a-4499-bf94-3b657f23ff56,3fb61bb1-a85d-4b3c-8ade-b59d2288513b,16307,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000016307.jpg
865f3016-0737-4631-ba07-d5bc4aa6426d,5c7e2a7b-93c3-4d04-b062-141074bf874d,16308,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000016308.jpg
6eca3add-c87d-428b-acf1-ca6c5b5320ef,38e6b44d-6b32-4df5-a78a-1f7431a90bac,16309,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000016309.jpg
7e2f613d-d14f-403b-9604-6b7a0463ca70,4e643507-612d-4dab-b2b0-91f2a33dec65,16310,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000016310.jpg
