id	higherClassification	bed	catalogNumber	modified	formation	genus	occurrenceRemarks	coordinatePrecision	sex	dateIdentified	taxonRank	maximumDepthInMeters	otherCatalogNumbers	subgenus	county	typeStatus	locality	stateProvince	recordNumber	identifiedBy	collectionCode	continent	lifeStage	preparations	phylum	kingdom	decimalLatitude	scientificNameAuthorship	decimalLongitude	group	type	family	maximumElevationInMeters	recordedBy	countryCode	country	references	waterBody	informationWithheld	minimumElevationInMeters	class	order	individualCount	language	nomenclaturalStatus	identificationRemarks	verbatimEventDate	fieldNotes	institutionCode	eventDate	member	basisOfRecord	scientificName	minimumDepthInMeters
ark:87286/B2/be9a2e3f-9ed3-462b-b337-97dd591c19aa	Plantae Magnoliopsida Magnoliophyta Campanulaceae Campanulales Asteridae Tracheobionta Campanula robinsiae Campanula		3888	2010-03-22 15:00:58.0		Campanula					Species				Hernando			Florida	8010		FSU	North America			Magnoliophyta	Plantae		Small			PreservedSpecimen	Campanulaceae		S. W. Leonard	US	UNITED STATES	http://www.morphbank.net/516680				Magnoliopsida	Campanulales		en	accepted				Florida State University	1983-02-13		PreservedSpecimen	Campanula robinsiae	
ark:87286/B2/d87bfc49-89ba-45a0-9f62-c53b7a58d112	Plantae Magnoliopsida Magnoliophyta Campanulaceae Campanulales Asteridae Tracheobionta Campanula robinsiae Campanula		3890	2010-03-22 15:01:00.0		Campanula					Species				Hernando			Florida	8010		FSU	North America			Magnoliophyta	Plantae		Small			PreservedSpecimen	Campanulaceae		S. W. Leonard	US	UNITED STATES	http://www.morphbank.net/516683				Magnoliopsida	Campanulales		en	accepted				Florida State University	1983-02-13		PreservedSpecimen	Campanula robinsiae	
ark:87286/B2/f45c5da0-bed2-4c31-b353-832b13456c7c	Plantae Magnoliopsida Magnoliophyta Asteraceae Asterales Asteridae Tracheobionta Chrysopsis floridana Chrysopsis		3965	2010-03-22 15:01:02.0		Chrysopsis					Species				Manatee			Florida	4987		FSU	North America			Magnoliophyta	Plantae		Small			PreservedSpecimen	Asteraceae		Andre F. Clewell	US	UNITED STATES	http://www.morphbank.net/516686				Magnoliopsida	Asterales		en	accepted				Florida State University	1982-11-10		PreservedSpecimen	Chrysopsis floridana	
ark:87286/B2/2270b477-6386-4472-b2ea-01fb1c7dabd7	Plantae Magnoliopsida Magnoliophyta Asteraceae Asterales Asteridae Tracheobionta Chrysopsis floridana Chrysopsis		3966	2010-03-22 15:01:05.0		Chrysopsis					Species				Manatee			Florida	65184		FSU	North America			Magnoliophyta	Plantae		Small			PreservedSpecimen	Asteraceae		Robert K. Godfrey	US	UNITED STATES	http://www.morphbank.net/516689				Magnoliopsida	Asterales		en	accepted				Florida State University	1964-11-20		PreservedSpecimen	Chrysopsis floridana	
ark:87286/B2/7a4c3838-57d7-46d1-8337-8d63891ca8bd	Plantae Magnoliopsida Magnoliophyta Asteraceae Asterales Asteridae Tracheobionta Chrysopsis floridana Chrysopsis		3967	2010-03-22 15:01:07.0		Chrysopsis					Species				Hillsborough			Florida	24826		FSU	North America			Magnoliophyta	Plantae		Small			PreservedSpecimen	Asteraceae		O. Lakela	US	UNITED STATES	http://www.morphbank.net/516692				Magnoliopsida	Asterales		en	accepted				Florida State University	1961-11-11		PreservedSpecimen	Chrysopsis floridana	
ark:87286/B2/42ad279c-d58c-4504-b75d-d0af97e6c9fe	Plantae Liliopsida Magnoliophyta Liliaceae Liliales Liliidae Tracheobionta Nolina brittoniana Nolina		4182	2010-03-22 15:01:09.0		Nolina					Species				Highlands			Florida	16928		FSU	North America			Magnoliophyta	Plantae		Nash			PreservedSpecimen	Liliaceae		Steve L. Orzell, Edwin L. Bridges	US	UNITED STATES	http://www.morphbank.net/516695				Liliopsida	Liliales		en	accepted				Florida State University	1991-05-24		PreservedSpecimen	Nolina brittoniana	
ark:87286/B2/446d1041-61dc-4c41-9fbf-2f1b6587f9a0	Plantae Liliopsida Magnoliophyta Liliaceae Liliales Liliidae Tracheobionta Nolina brittoniana Nolina		4183	2010-03-22 15:01:12.0		Nolina					Species				Orange			Florida	57353		FSU	North America			Magnoliophyta	Plantae		Nash			PreservedSpecimen	Liliaceae		Robert K. Godfrey	US	UNITED STATES	http://www.morphbank.net/516698				Liliopsida	Liliales		en	accepted				Florida State University	1958-08-07		PreservedSpecimen	Nolina brittoniana	
ark:87286/B2/8d7ed41d-6b12-443f-a33c-b0c1e91e94ff	Plantae Liliopsida Magnoliophyta Liliaceae Liliales Liliidae Tracheobionta Nolina brittoniana Nolina		4184	2010-03-22 15:01:14.0		Nolina					Species				Orange			Florida	57353		FSU	North America			Magnoliophyta	Plantae		Nash			PreservedSpecimen	Liliaceae		Robert K. Godfrey	US	UNITED STATES	http://www.morphbank.net/516701				Liliopsida	Liliales		en	accepted				Florida State University	1958-08-07		PreservedSpecimen	Nolina brittoniana	
ark:87286/B2/50dcda9b-4831-4b76-bfea-c698234f8c53	Plantae Liliopsida Magnoliophyta Liliaceae Liliales Liliidae Tracheobionta Nolina brittoniana Nolina		4185	2010-03-22 15:01:16.0		Nolina					Species				Polk			Florida	77899		FSU	North America			Magnoliophyta	Plantae		Nash			PreservedSpecimen	Liliaceae		Robert K. Godfrey	US	UNITED STATES	http://www.morphbank.net/516704				Liliopsida	Liliales		en	accepted				Florida State University	1980-06-01		PreservedSpecimen	Nolina brittoniana	
ark:87286/B2/fda3af44-db84-46b0-9d2e-6843dd7688f7	Plantae Liliopsida Magnoliophyta Liliaceae Liliales Liliidae Tracheobionta Nolina brittoniana Nolina		4186	2010-03-22 15:01:19.0		Nolina					Species				Polk			Florida	77899		FSU	North America			Magnoliophyta	Plantae		Nash			PreservedSpecimen	Liliaceae		Robert K. Godfrey	US	UNITED STATES	http://www.morphbank.net/516707				Liliopsida	Liliales		en	accepted				Florida State University	1980-06-01		PreservedSpecimen	Nolina brittoniana	
