id	higherClassification	bed	catalogNumber	modified	formation	genus	occurrenceRemarks	coordinatePrecision	sex	dateIdentified	taxonRank	maximumDepthInMeters	otherCatalogNumbers	subgenus	county	typeStatus	locality	stateProvince	recordNumber	identifiedBy	collectionCode	continent	lifeStage	preparations	phylum	kingdom	decimalLatitude	scientificNameAuthorship	decimalLongitude	group	type	family	maximumElevationInMeters	recordedBy	countryCode	country	references	waterBody	informationWithheld	minimumElevationInMeters	class	order	individualCount	language	nomenclaturalStatus	identificationRemarks	verbatimEventDate	fieldNotes	institutionCode	eventDate	member	basisOfRecord	scientificName	minimumDepthInMeters
ark:87286/B2/57104745-2e6c-4f59-bc8f-d5a8467ee49c	Plantae Tracheobionta Magnoliophyta Magnoliopsida Rosidae Euphorbiales Euphorbiaceae Croton Croton argyranthemus		000014598	2009-06-17 16:18:16.0		Croton			Undetermined		Species					Nontype	Florida; Jackson County; Longleaf pine, scrub oak sandy-gravelly ridge, recently cleared and ;cultivated, now fallow; 2 miles S of Grand Ridge.		63653		FSU	NORTH AMERICA	Undetermined	Pressed and dried	Magnoliophyta	Plantae		Michx.			PreservedSpecimen	Euphorbiaceae		Robert K. Godfrey	US	UNITED STATES	http://www.morphbank.net/80977				Magnoliopsida	Euphorbiales		en	accepted				Florida State University	1964-05-10		PreservedSpecimen	Croton argyranthemus	
ark:87286/B2/9cb3f23c-5748-4703-b014-9f2eb330c8ce	Plantae Tracheobionta Magnoliophyta Magnoliopsida Rosidae Euphorbiales Euphorbiaceae Croton Croton argyranthemus		000014599	2009-06-17 16:18:16.0		Croton			Undetermined		Species					Nontype	Florida; Holmes County; 9 miles east of Defuniak Springs; on sandy longleaf pine ridge.		4568		FSU	NORTH AMERICA	Undetermined	Pressed and dried	Magnoliophyta	Plantae		Michx.			PreservedSpecimen	Euphorbiaceae		Sidney McDaniel	US	UNITED STATES	http://www.morphbank.net/80978				Magnoliopsida	Euphorbiales		en	accepted				Florida State University	1964-05-24		PreservedSpecimen	Croton argyranthemus	
ark:87286/B2/d63ed5cc-d3e2-4804-bb2d-c4f8517180c1	Plantae Tracheobionta Magnoliophyta Magnoliopsida Rosidae Euphorbiales Euphorbiaceae Croton Croton argyranthemus		000014600	2009-06-17 16:18:16.0		Croton			Undetermined		Species					Nontype	Florida; Santa Rosa County; 6 miles north of Holly; in sandy longleaf pine-turkey oak woods on ridge.		4697		FSU	NORTH AMERICA	Undetermined	Pressed and dried	Magnoliophyta	Plantae		Michx.			PreservedSpecimen	Euphorbiaceae		Sidney McDaniel	US	UNITED STATES	http://www.morphbank.net/80979				Magnoliopsida	Euphorbiales		en	accepted				Florida State University	1964-05-28		PreservedSpecimen	Croton argyranthemus	
ark:87286/B2/5fe54671-cfa9-4e88-a590-0380c3037b7b	Plantae Tracheobionta Magnoliophyta Magnoliopsida Rosidae Euphorbiales Euphorbiaceae Croton Croton argyranthemus		000014601	2009-06-17 16:18:16.0		Croton			Undetermined		Species					Nontype	Florida; Leon County; Open sand ridge near old Tram Rd. ca. 3 mi. SE Tallahassee.		804		FSU	NORTH AMERICA	Undetermined	Pressed and dried	Magnoliophyta	Plantae		Michx.			PreservedSpecimen	Euphorbiaceae		Andre F. Clewell	US	UNITED STATES	http://www.morphbank.net/80980				Magnoliopsida	Euphorbiales		en	accepted				Florida State University	1962-09-30		PreservedSpecimen	Croton argyranthemus	
ark:87286/B2/84076f71-0f01-4ebc-a62d-30b50d833782	Plantae Tracheobionta Magnoliophyta Magnoliopsida Rosidae Euphorbiales Euphorbiaceae Croton Croton argyranthemus		000014602	2009-06-17 16:18:16.0		Croton			Undetermined		Species					Nontype	Florida; Liberty County; [Bulldozed] scrub oak sand ridges, 6 miles N. of Bristol.		62842		FSU	NORTH AMERICA	Undetermined	Pressed and dried	Magnoliophyta	Plantae		Michx.			PreservedSpecimen	Euphorbiaceae		Robert K. Godfrey	US	UNITED STATES	http://www.morphbank.net/80981				Magnoliopsida	Euphorbiales		en	accepted				Florida State University	1963-06-01		PreservedSpecimen	Croton argyranthemus	
ark:87286/B2/42398005-1353-4766-b41b-9f707b1528b5	Plantae Tracheobionta Magnoliophyta Magnoliopsida Rosidae Euphorbiales Euphorbiaceae Croton Croton argyranthemus		000014603	2009-06-17 16:18:16.0		Croton			Undetermined		Species					Nontype	Florida; ;Oak ridge near Aspalaga.				FSU	NORTH AMERICA	Undetermined	Pressed and dried	Magnoliophyta	Plantae		Michx.			PreservedSpecimen	Euphorbiaceae		John K. Small	US	UNITED STATES	http://www.morphbank.net/80982				Magnoliopsida	Euphorbiales		en	accepted				Florida State University			PreservedSpecimen	Croton argyranthemus	
ark:87286/B2/d95d7709-60bd-4c51-99c8-0ac2efc18ac4	Plantae Tracheobionta Magnoliophyta Magnoliopsida Rosidae Euphorbiales Euphorbiaceae Croton Croton argyranthemus		000014604	2009-06-17 16:18:16.0		Croton			Undetermined		Species					Nontype	Florida; Franklin County; oak scrub; 1/4 mile So. Ochlockonee Bay Bridge.		396		FSU	NORTH AMERICA	Undetermined	Pressed and dried	Magnoliophyta	Plantae		Michx.			PreservedSpecimen	Euphorbiaceae		C. Jackson	US	UNITED STATES	http://www.morphbank.net/80983				Magnoliopsida	Euphorbiales		en	accepted				Florida State University	1950-07-15		PreservedSpecimen	Croton argyranthemus	
ark:87286/B2/d7776caa-0ce1-44af-aa1f-49faf072d86a	Plantae Tracheobionta Magnoliophyta Magnoliopsida Rosidae Euphorbiales Euphorbiaceae Croton Croton argyranthemus		000014605	2009-06-17 16:18:16.0		Croton			Undetermined		Species					Nontype	Florida; Madison County; flatwoods 3 m. E of Lee.		4353a		FSU	NORTH AMERICA	Undetermined	Pressed and dried	Magnoliophyta	Plantae		Michx.			PreservedSpecimen	Euphorbiaceae		Robert Kral	US	UNITED STATES	http://www.morphbank.net/80984				Magnoliopsida	Euphorbiales		en	accepted				Florida State University	1957-03-31		PreservedSpecimen	Croton argyranthemus	
ark:87286/B2/9b146c06-5589-4cb7-83b0-3fac375d5e22	Plantae Tracheobionta Magnoliophyta Magnoliopsida Rosidae Euphorbiales Euphorbiaceae Croton Croton argyranthemus		000014606	2009-06-17 16:18:16.0		Croton			Undetermined		Species					Nontype	Florida; Escambia County; Scrub oak sand ridge, West Pensacola.		56707		FSU	NORTH AMERICA	Undetermined	Pressed and dried	Magnoliophyta	Plantae		Michx.			PreservedSpecimen	Euphorbiaceae		Robert K. Godfrey	US	UNITED STATES	http://www.morphbank.net/80985				Magnoliopsida	Euphorbiales		en	accepted				Florida State University	1958-05-17		PreservedSpecimen	Croton argyranthemus	
ark:87286/B2/dfec004a-933f-4808-9b7c-ed9fb1da9284	Plantae Tracheobionta Magnoliophyta Magnoliopsida Rosidae Euphorbiales Euphorbiaceae Croton Croton argyranthemus		000014607	2009-06-17 16:18:16.0		Croton			Undetermined		Species					Nontype	Florida; Liberty County; Clearing on turkey-oak sand ridge, between Hosford and Bristol.		52494		FSU	NORTH AMERICA	Undetermined	Pressed and dried	Magnoliophyta	Plantae		Michx.			PreservedSpecimen	Euphorbiaceae		Robert K. Godfrey, John Morrill	US	UNITED STATES	http://www.morphbank.net/80986				Magnoliopsida	Euphorbiales		en	accepted				Florida State University	1954-09-17		PreservedSpecimen	Croton argyranthemus	
