id,institutionCode,collectionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
6668928,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89372,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. leucoderme","(Small) Desmarais",Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:58e3df81-8679-4047-9472-a4564a06ada7,http://sernecportal.org/portal/collections/individual/index.php?occid=6668928,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089372.jpg
6668926,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89374,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. leucoderme","(Small) Desmarais",Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:36cfa803-30c8-49ca-aec7-a325e39aff0e,http://sernecportal.org/portal/collections/individual/index.php?occid=6668926,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089374.jpg
6668925,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89375,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. leucoderme","(Small) Desmarais",Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:74e7e305-2b8a-4f8b-8462-9479f1868fcf,http://sernecportal.org/portal/collections/individual/index.php?occid=6668925,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089375.jpg
6668929,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89371,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. leucoderme","(Small) Desmarais",Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:9cec00e5-715d-47f0-9d8c-8d7a27248b4c,http://sernecportal.org/portal/collections/individual/index.php?occid=6668929,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089371.jpg
6668927,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89373,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. leucoderme","(Small) Desmarais",Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8d063e86-f60d-4cfc-9820-93ea1747e265,http://sernecportal.org/portal/collections/individual/index.php?occid=6668927,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089373.jpg
6668924,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89376,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. leucoderme","(Small) Desmarais",Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:bc518e6e-ab23-45b8-b324-856cd0f9e0d6,http://sernecportal.org/portal/collections/individual/index.php?occid=6668924,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089376.jpg
6668923,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89377,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. leucoderme","(Small) Desmarais",Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d4e68d2e-eb6f-46ab-b9e3-84658d355634,http://sernecportal.org/portal/collections/individual/index.php?occid=6668923,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089377.jpg
6668922,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89378,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. leucoderme","(Small) Desmarais",Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:33c3f978-f6ec-4f2d-b1d0-f139d7b6ba29,http://sernecportal.org/portal/collections/individual/index.php?occid=6668922,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089378.jpg
6668921,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89379,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. leucoderme","(Small) Desmarais",Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:209c6929-bff7-46b9-a35e-6944abab8157,http://sernecportal.org/portal/collections/individual/index.php?occid=6668921,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089379.jpg
6668920,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89380,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,"Acer saccharum subsp. leucoderme","(Small) Desmarais",Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Florida,,,,,,,,,,,,,,,,,,,,,,,en,,"7/13/15 11:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:704e7afb-3ed3-45e4-b423-71017dd42d02,http://sernecportal.org/portal/collections/individual/index.php?occid=6668920,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089380.jpg
