id	attributionLinkURL	modified	subjectPart	WorldRegion	ProvinceState	resourceCreationTechnique	variantDescription	Credit	LocationCreated	licensingException	captureDevice	accessURI	dateIdentified	provider	tag	UsageTerms	serviceExpectation	creator	format	sex	identificationQualifier	title	lifeStage	metadataCreator	WebStatement	City	Owner	CreateDate	reviewerComments	subjectCategoryVocabulary	language	PixelXDimension	nameAccordingTo	comments	taxonCoverage	CVterm	reviewer	physicalSetting	licenseLogoURL	available	identifier	Sublocation	metadataProvider	furtherInformationURL	attributionLogoURL	timeOfDay	scientificNameID	rights	description	vernacularName	LocationShown	subtype	CountryCode	providerManagedID	CountryName	PixelYDimension	source	scientificName	subjectOrientation	variantLiteral	MetadataDate	metadataLanguageLiteral	temporal	type	digitizationDate	taxonCount	otherScientificName	Rating	caption	identifiedBy
ark:87286/B2/57104745-2e6c-4f59-bc8f-d5a8467ee49c		2010-02-04 14:55:21.0	Plant body			No preparation		Austin Mast amast@bio.fsu.edu			Reflected light, macrophotography	http://www.morphbank.net?id=87901&imgType=jpeg		http://www.morphbank.net/77409	Plant body			Ken Womble	image/jpeg			image of Croton argyranthemus		morphbank.net	<a rel="license" href="http://creativecommons.org/licenses/by-nc-sa/3.0/us/"> <img alt="Creative Commons License" style="border-width:0" src="http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png" /> </a>		Austin Mast amast@bio.fsu.edu					3000							http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png	2006-07-15	urn:uuid:bf4c77e4-6b0b-472e-b49b-920b285fd3c2		morphbank.net	http://www.morphbank.net/87901	http://www.morphbank.net/images/userLogos/77409.gif			by-nc-sa	New Image added to the data base, using Excel					http://www.morphbank.net/87901		3582			Herbarium Specimen	best quality		en		StillImage						
ark:87286/B2/9cb3f23c-5748-4703-b014-9f2eb330c8ce		2010-02-04 14:55:21.0	Plant body			No preparation		Austin Mast amast@bio.fsu.edu			Reflected light, macrophotography	http://www.morphbank.net?id=87902&imgType=jpeg		http://www.morphbank.net/77409	Plant body			Ken Womble	image/jpeg			image of Croton argyranthemus		morphbank.net	<a rel="license" href="http://creativecommons.org/licenses/by-nc-sa/3.0/us/"> <img alt="Creative Commons License" style="border-width:0" src="http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png" /> </a>		Austin Mast amast@bio.fsu.edu					3000							http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png	2006-07-15	urn:uuid:4ce0c13a-141b-47bc-85b6-8805e61429c8		morphbank.net	http://www.morphbank.net/87902	http://www.morphbank.net/images/userLogos/77409.gif			by-nc-sa	New Image added to the data base, using Excel					http://www.morphbank.net/87902		3582			Herbarium Specimen	best quality		en		StillImage						
ark:87286/B2/d63ed5cc-d3e2-4804-bb2d-c4f8517180c1		2010-02-04 14:55:21.0	Plant body			No preparation		Austin Mast amast@bio.fsu.edu			Reflected light, macrophotography	http://www.morphbank.net?id=87903&imgType=jpeg		http://www.morphbank.net/77409	Plant body			Ken Womble	image/jpeg			image of Croton argyranthemus		morphbank.net	<a rel="license" href="http://creativecommons.org/licenses/by-nc-sa/3.0/us/"> <img alt="Creative Commons License" style="border-width:0" src="http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png" /> </a>		Austin Mast amast@bio.fsu.edu					3000							http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png	2006-07-15	urn:uuid:bbea0e74-b884-48c5-806e-4de4bee80f01		morphbank.net	http://www.morphbank.net/87903	http://www.morphbank.net/images/userLogos/77409.gif			by-nc-sa	New Image added to the data base, using Excel					http://www.morphbank.net/87903		3582			Herbarium Specimen	best quality		en		StillImage						
ark:87286/B2/5fe54671-cfa9-4e88-a590-0380c3037b7b		2010-02-04 14:55:21.0	Plant body			No preparation		Austin Mast amast@bio.fsu.edu			Reflected light, macrophotography	http://www.morphbank.net?id=87904&imgType=jpeg		http://www.morphbank.net/77409	Plant body			Ken Womble	image/jpeg			image of Croton argyranthemus		morphbank.net	<a rel="license" href="http://creativecommons.org/licenses/by-nc-sa/3.0/us/"> <img alt="Creative Commons License" style="border-width:0" src="http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png" /> </a>		Austin Mast amast@bio.fsu.edu					3000							http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png	2006-07-15	urn:uuid:0f667ddd-f430-4854-acf2-1ae7ed84b0da		morphbank.net	http://www.morphbank.net/87904	http://www.morphbank.net/images/userLogos/77409.gif			by-nc-sa	New Image added to the data base, using Excel					http://www.morphbank.net/87904		3582			Herbarium Specimen	best quality		en		StillImage						
ark:87286/B2/84076f71-0f01-4ebc-a62d-30b50d833782		2010-02-04 14:55:21.0	Plant body			No preparation		Austin Mast amast@bio.fsu.edu			Reflected light, macrophotography	http://www.morphbank.net?id=87905&imgType=jpeg		http://www.morphbank.net/77409	Plant body			Ken Womble	image/jpeg			image of Croton argyranthemus		morphbank.net	<a rel="license" href="http://creativecommons.org/licenses/by-nc-sa/3.0/us/"> <img alt="Creative Commons License" style="border-width:0" src="http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png" /> </a>		Austin Mast amast@bio.fsu.edu					3000							http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png	2006-07-15	urn:uuid:becd2191-516f-4459-bd99-a44e543511a3		morphbank.net	http://www.morphbank.net/87905	http://www.morphbank.net/images/userLogos/77409.gif			by-nc-sa	New Image added to the data base, using Excel					http://www.morphbank.net/87905		3582			Herbarium Specimen	best quality		en		StillImage						
ark:87286/B2/42398005-1353-4766-b41b-9f707b1528b5		2010-02-04 14:55:21.0	Plant body			No preparation		Austin Mast amast@bio.fsu.edu			Reflected light, macrophotography	http://www.morphbank.net?id=87906&imgType=jpeg		http://www.morphbank.net/77409	Plant body			Ken Womble	image/jpeg			image of Croton argyranthemus		morphbank.net	<a rel="license" href="http://creativecommons.org/licenses/by-nc-sa/3.0/us/"> <img alt="Creative Commons License" style="border-width:0" src="http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png" /> </a>		Austin Mast amast@bio.fsu.edu					3000							http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png	2006-07-15	urn:uuid:479a3833-0fd4-4fb0-970f-f76758171ef8		morphbank.net	http://www.morphbank.net/87906	http://www.morphbank.net/images/userLogos/77409.gif			by-nc-sa	New Image added to the data base, using Excel					http://www.morphbank.net/87906		3582			Herbarium Specimen	best quality		en		StillImage						
ark:87286/B2/d95d7709-60bd-4c51-99c8-0ac2efc18ac4		2010-02-04 14:55:21.0	Plant body			No preparation		Austin Mast amast@bio.fsu.edu			Reflected light, macrophotography	http://www.morphbank.net?id=87907&imgType=jpeg		http://www.morphbank.net/77409	Plant body			Ken Womble	image/jpeg			image of Croton argyranthemus		morphbank.net	<a rel="license" href="http://creativecommons.org/licenses/by-nc-sa/3.0/us/"> <img alt="Creative Commons License" style="border-width:0" src="http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png" /> </a>		Austin Mast amast@bio.fsu.edu					3000							http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png	2006-07-15	urn:uuid:11c469aa-3e5e-4b28-b63e-8a8d3c31ba01		morphbank.net	http://www.morphbank.net/87907	http://www.morphbank.net/images/userLogos/77409.gif			by-nc-sa	New Image added to the data base, using Excel					http://www.morphbank.net/87907		3582			Herbarium Specimen	best quality		en		StillImage						
ark:87286/B2/d7776caa-0ce1-44af-aa1f-49faf072d86a		2010-02-04 14:55:21.0	Plant body			No preparation		Austin Mast amast@bio.fsu.edu			Reflected light, macrophotography	http://www.morphbank.net?id=87908&imgType=jpeg		http://www.morphbank.net/77409	Plant body			Ken Womble	image/jpeg			image of Croton argyranthemus		morphbank.net	<a rel="license" href="http://creativecommons.org/licenses/by-nc-sa/3.0/us/"> <img alt="Creative Commons License" style="border-width:0" src="http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png" /> </a>		Austin Mast amast@bio.fsu.edu					3000							http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png	2006-07-15	urn:uuid:f19bdcb9-4fa1-478f-b455-700e9ef532d8		morphbank.net	http://www.morphbank.net/87908	http://www.morphbank.net/images/userLogos/77409.gif			by-nc-sa	New Image added to the data base, using Excel					http://www.morphbank.net/87908		3582			Herbarium Specimen	best quality		en		StillImage						
ark:87286/B2/9b146c06-5589-4cb7-83b0-3fac375d5e22		2010-02-04 14:55:21.0	Plant body			No preparation		Austin Mast amast@bio.fsu.edu			Reflected light, macrophotography	http://www.morphbank.net?id=87909&imgType=jpeg		http://www.morphbank.net/77409	Plant body			Ken Womble	image/jpeg			image of Croton argyranthemus		morphbank.net	<a rel="license" href="http://creativecommons.org/licenses/by-nc-sa/3.0/us/"> <img alt="Creative Commons License" style="border-width:0" src="http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png" /> </a>		Austin Mast amast@bio.fsu.edu					3000							http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png	2006-07-15	urn:uuid:37445aa5-95fb-4342-90cc-7aaff96888a3		morphbank.net	http://www.morphbank.net/87909	http://www.morphbank.net/images/userLogos/77409.gif			by-nc-sa	New Image added to the data base, using Excel					http://www.morphbank.net/87909		3582			Herbarium Specimen	best quality		en		StillImage						
ark:87286/B2/dfec004a-933f-4808-9b7c-ed9fb1da9284		2010-02-04 14:55:21.0	Plant body			No preparation		Austin Mast amast@bio.fsu.edu			Reflected light, macrophotography	http://www.morphbank.net?id=87910&imgType=jpeg		http://www.morphbank.net/77409	Plant body			Ken Womble	image/jpeg			image of Croton argyranthemus		morphbank.net	<a rel="license" href="http://creativecommons.org/licenses/by-nc-sa/3.0/us/"> <img alt="Creative Commons License" style="border-width:0" src="http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png" /> </a>		Austin Mast amast@bio.fsu.edu					3000							http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png	2006-07-15	urn:uuid:658a757d-f95e-42d8-92d7-c80b09f1d2f3		morphbank.net	http://www.morphbank.net/87910	http://www.morphbank.net/images/userLogos/77409.gif			by-nc-sa	New Image added to the data base, using Excel					http://www.morphbank.net/87910		3582			Herbarium Specimen	best quality		en		StillImage						
